case_url,page_title,article_label,article,paragraph,letter,article_category
https://gdprhub.eu/index.php?title=Garante_per_la_protezione_dei_dati_personali_(Italy)_-_9977020,Garante per la protezione dei dati personali (Italy) - 9977020,10,10,,,Article 5(1)(a) GDPR&pagefrom=DSB+(Austria)+-+2020-0.550.322#mw-pages
https://gdprhub.eu/index.php?title=Hd_-_%C3%84_3169-24,Hd - Ä 3169-24,10,10,,,Article 10 GDPR
https://gdprhub.eu/index.php?title=Hd_-_%C3%84_3457-24,Hd - Ä 3457-24,10,10,,,Article 5(1)(f) GDPR&pagefrom=Garante+per+la+protezione+dei+dati+personali+(Italy)+-+9269618#mw-pages
https://gdprhub.eu/index.php?title=Helsingin_hallinto-oikeus_(Finland)_-_H5259/2022,Helsingin hallinto-oikeus (Finland) - H5259/2022,10,10,,,Article 6(2) GDPR
https://gdprhub.eu/index.php?title=Hoge_Raad_-_20/02950,Hoge Raad - 20/02950,10,10,,,Article 10 GDPR
https://gdprhub.eu/index.php?title=ICO_-_FER0851659,ICO - FER0851659,10,10,,,Article 4(1) GDPR
https://gdprhub.eu/index.php?title=ICO_-_FS50867088,ICO - FS50867088,10,10,,,Article 5(1)(a) GDPR&pagefrom=HDPA+(Greece)+-+50/2021#mw-pages
https://gdprhub.eu/index.php?title=ICO_-_FS50897723,ICO - FS50897723,10,10,,,Article 5(1)(a) GDPR&pagefrom=HDPA+(Greece)+-+50/2021#mw-pages
https://gdprhub.eu/index.php?title=Kammarr%C3%A4tten_i_Stockholm_-_6027-23,Kammarrätten i Stockholm - 6027-23,10,10,,,Article 10 GDPR
https://gdprhub.eu/index.php?title=NAIH_(Hungary)_-_NAIH-4667-10/2022,NAIH (Hungary) - NAIH-4667-10/2022,10,10,,,Article 10 GDPR
https://gdprhub.eu/index.php?title=Personvernnemnda_(Norway)_-_2021-17_(20/02389),Personvernnemnda (Norway) - 2021-17 (20/02389),10,10,,,Article 6(1)(f) GDPR&pagefrom=Helsingin+hallinto-oikeus+(Finland)+-+H6072/2021#mw-pages
https://gdprhub.eu/index.php?title=Personvernnemnda_(Norway)_-_2021-18_(20/02059),Personvernnemnda (Norway) - 2021-18 (20/02059),10,10,,,Article 5(1)(d) GDPR
https://gdprhub.eu/index.php?title=Pers%C3%B3nuvernd_-_2020010373,Persónuvernd - 2020010373,10,10,,,Article 5(1)(f) GDPR&pagefrom=Garante+per+la+protezione+dei+dati+personali+(Italy)+-+9269618#mw-pages
https://gdprhub.eu/index.php?title=Rb._Amsterdam_-_C/13/663563_/_HA_RK_19-97,Rb. Amsterdam - C/13/663563 / HA RK 19-97,10,10,,,Article 6(1)(f) GDPR&pagefrom=Helsingin+hallinto-oikeus+(Finland)+-+H6072/2021#mw-pages
https://gdprhub.eu/index.php?title=Rb._Midden-Nederland_-_C/16/530061_/_KG_ZA_21-617,Rb. Midden-Nederland - C/16/530061 / KG ZA 21-617,10,10,,,Article 6(1)(f) GDPR&pagefrom=Helsingin+hallinto-oikeus+(Finland)+-+H6072/2021#mw-pages
https://gdprhub.eu/index.php?title=Rb._Midden-Nederland_-_C/16/531572_/_KG_ZA_21-672,Rb. Midden-Nederland - C/16/531572 / KG ZA 21-672,10,10,,,Article 4(1) GDPR
https://gdprhub.eu/index.php?title=Rb._Noord-Nederland_-_C/18/190912/HA_RK_19-19,Rb. Noord-Nederland - C/18/190912/HA RK 19-19,10,10,,,Article 6(1)(f) GDPR&pagefrom=Helsingin+hallinto-oikeus+(Finland)+-+H6072/2021#mw-pages
https://gdprhub.eu/index.php?title=Tietosuojavaltuutetun_toimisto_(Finland)_-_6689/186/20,Tietosuojavaltuutetun toimisto (Finland) - 6689/186/20,10,10,,,Article 5(1) GDPR
https://gdprhub.eu/index.php?title=Tietosuojavaltuutetun_toimisto_(Finland)_-_7635/162/21,Tietosuojavaltuutetun toimisto (Finland) - 7635/162/21,10,10,,,Article 6(2) GDPR
https://gdprhub.eu/index.php?title=Tietosuojavaltuutetun_toimisto_(Finland)_-_8979/162/21,Tietosuojavaltuutetun toimisto (Finland) - 8979/162/21,10,10,,,Article 4(2) GDPR
https://gdprhub.eu/index.php?title=UOOU_(Czech_Republic)_-_UOOU-05284/19-47,UOOU (Czech Republic) - UOOU-05284/19-47,10,10,,,Article 5 GDPR
https://gdprhub.eu/index.php?title=AZOP_(Croatia)_-_Decision_23-03-2023,AZOP (Croatia) - Decision 23-03-2023,11,11,,,Article 11 GDPR
https://gdprhub.eu/index.php?title=CNIL_(France)_-_SAN-2020-056,CNIL (France) - SAN-2020-056,11,11,,,Article 5(1)(a) GDPR
https://gdprhub.eu/index.php?title=RvS_(Netherlands)_-_202006082/1/A3,RvS (Netherlands) - 202006082/1/A3,11,11,,,Article 11 GDPR
https://gdprhub.eu/index.php?title=TA_Luxembourg_-_46578,TA Luxembourg - 46578,11,11,,,Article 6(1) GDPR&pagefrom=BVwG+-+W176+2265088-1#mw-pages
https://gdprhub.eu/index.php?title=BVwG_-_W214_2228346-1,BVwG - W214 2228346-1,11(2),11,2,,Article 4(1) GDPR
https://gdprhub.eu/index.php?title=NAIH_(Hungary)_-_NAIH/2020/2555,NAIH (Hungary) - NAIH/2020/2555,11(2),11,2,,Article 4(1) GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_E/03624/2021,AEPD (Spain) - E/03624/2021,12,12,,,Article 5(1)(a) GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_EXP202200429,AEPD (Spain) - EXP202200429,12,12,,,Article 5(1)(c) GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_EXP202200999,AEPD (Spain) - EXP202200999,12,12,,,Article 6(1) GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_EXP202202164,AEPD (Spain) - EXP202202164,12,12,,,Article 5(2) GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_EXP202202889,AEPD (Spain) - EXP202202889,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_EXP202202928,AEPD (Spain) - EXP202202928,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_EXP202202937,AEPD (Spain) - EXP202202937,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_EXP202203923,AEPD (Spain) - EXP202203923,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_EXP202206542,AEPD (Spain) - EXP202206542,12,12,,,Article 5(1) GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_EXP202212247,AEPD (Spain) - EXP202212247,12,12,,,Article 9(1) GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_EXP202304146,AEPD (Spain) - EXP202304146,12,12,,,Article 6(1) GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_PD-00207-2022,AEPD (Spain) - PD-00207-2022,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_PS/00006/2022,AEPD (Spain) - PS/00006/2022,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_PS/00030/2020,AEPD (Spain) - PS/00030/2020,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_PS/00070/2019,AEPD (Spain) - PS/00070/2019,12,12,,,Article 4(11) GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_PS/00120/2021,AEPD (Spain) - PS/00120/2021,12,12,,,Article 5(1)(c) GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_PS/00261/2020,AEPD (Spain) - PS/00261/2020,12,12,,,Article 5(1)(c) GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_PS/00267/2021,AEPD (Spain) - PS/00267/2021,12,12,,,Article 6 GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_PS/00272/2019,AEPD (Spain) - PS/00272/2019,12,12,,,Article 5(1)(c) GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_PS/00273/2019,AEPD (Spain) - PS/00273/2019,12,12,,,Article 5(1)(c) GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_PS/00369/2019,AEPD (Spain) - PS/00369/2019,12,12,,,Article 5(1)(c) GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_PS/00372/2021,AEPD (Spain) - PS/00372/2021,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_PS/00397/2019,AEPD (Spain) - PS/00397/2019,12,12,,,Article 5(1)(c) GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_PS/00436/2021,AEPD (Spain) - PS/00436/2021,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_PS/00443/2021,AEPD (Spain) - PS/00443/2021,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_PS/00479/2019,AEPD (Spain) - PS/00479/2019,12,12,,,Article 5(1)(c) GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_TD/00010/2020,AEPD (Spain) - TD/00010/2020,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_TD/00054/2020,AEPD (Spain) - TD/00054/2020,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_TD/00085/2020,AEPD (Spain) - TD/00085/2020,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_TD/00129/2020,AEPD (Spain) - TD/00129/2020,12,12,,,Article 4(1) GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_TD/00133/2020,AEPD (Spain) - TD/00133/2020,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_TD/00164/2020,AEPD (Spain) - TD/00164/2020,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_TD/00248/2020,AEPD (Spain) - TD/00248/2020,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_TD/00261/2020,AEPD (Spain) - TD/00261/2020,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_TD/00317/2019,AEPD (Spain) - TD/00317/2019,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_TD/00318/2019,AEPD (Spain) - TD/00318/2019,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=AEPD_(Spain)_-_TD/00325/2019,AEPD (Spain) - TD/00325/2019,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=AG_D%C3%BCsseldorf_-_51_C_206/23,AG Düsseldorf - 51 C 206/23,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=AKI_(Estonia)_-_2.1.-1/21/129,AKI (Estonia) - 2.1.-1/21/129,12,12,,,Article 6 GDPR
https://gdprhub.eu/index.php?title=AKI_(Estonia)_-_2.1.-1/22/1396,AKI (Estonia) - 2.1.-1/22/1396,12,12,,,Article 5 GDPR
https://gdprhub.eu/index.php?title=AKI_(Estonia)_-_2.1.-5/24/2203-8,AKI (Estonia) - 2.1.-5/24/2203-8,12,12,,,Article 5(1) GDPR
https://gdprhub.eu/index.php?title=ANSPDCP_(Romania)_-_13.03.2023,ANSPDCP (Romania) - 13.03.2023,12,12,,,Article 12 GDPR
"https://gdprhub.eu/index.php?title=ANSPDCP_(Romania)_-_Asocia%C8%9Bia_de_proprietari_Bl._FC_5,_ora%C8%99ul_N%C4%83vodari,_jude%C8%9Bul_Constan%C8%9Ba","ANSPDCP (Romania) - Asociația de proprietari Bl. FC 5, orașul Năvodari, județul Constanța",12,12,,,Article 5 GDPR
https://gdprhub.eu/index.php?title=ANSPDCP_(Romania)_-_Fine_against_Corint_Logistic_SRL,ANSPDCP (Romania) - Fine against Corint Logistic SRL,12,12,,,Article 5(1)(a) GDPR
https://gdprhub.eu/index.php?title=ANSPDCP_(Romania)_-_Fine_against_Denmar_Nacrut_SRL,ANSPDCP (Romania) - Fine against Denmar Nacrut SRL,12,12,,,Article 5(2) GDPR
https://gdprhub.eu/index.php?title=ANSPDCP_(Romania)_-_Fine_against_Global_Ports%E2%80%99s_Services_S.R.L.,ANSPDCP (Romania) - Fine against Global Ports’s Services S.R.L.,12,12,,,Article 5(2) GDPR
https://gdprhub.eu/index.php?title=ANSPDCP_(Romania)_-_Fine_against_IAMSAT_Muntenia_SA,ANSPDCP (Romania) - Fine against IAMSAT Muntenia SA,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=ANSPDCP_(Romania)_-_Fine_against_a_Romanian_politician,ANSPDCP (Romania) - Fine against a Romanian politician,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=ANSPDCP_(Romania)_-_Office_Nova_Concept,ANSPDCP (Romania) - Office Nova Concept,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=ANSPDCP_(Romania)_-_SYNOBIS_MEDICAL_S.R.L.,ANSPDCP (Romania) - SYNOBIS MEDICAL S.R.L.,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=ANSPDCP_(Romania)_-_Tensa_Art_Design_S.A.,ANSPDCP (Romania) - Tensa Art Design S.A.,12,12,,,Article 6 GDPR
https://gdprhub.eu/index.php?title=ANSPDCP_(Romania)_-_Vodafone_Rom%C3%A2nia_S.A._3,ANSPDCP (Romania) - Vodafone România S.A. 3,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=APD/GBA_(Belgium)_-_01/2024,APD/GBA (Belgium) - 01/2024,12,12,,,Article 5(1)(b) GDPR
https://gdprhub.eu/index.php?title=APD/GBA_(Belgium)_-_03/2024,APD/GBA (Belgium) - 03/2024,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=APD/GBA_(Belgium)_-_07/2024,APD/GBA (Belgium) - 07/2024,12,12,,,Article 5(1)(c) GDPR
https://gdprhub.eu/index.php?title=APD/GBA_(Belgium)_-_109/2024,APD/GBA (Belgium) - 109/2024,12,12,,,Article 4(11) GDPR
https://gdprhub.eu/index.php?title=APD/GBA_(Belgium)_-_11/2022,APD/GBA (Belgium) - 11/2022,12,12,,,Article 4(1) GDPR
https://gdprhub.eu/index.php?title=APD/GBA_(Belgium)_-_12/2019,APD/GBA (Belgium) - 12/2019,12,12,,,Article 4(11) GDPR
https://gdprhub.eu/index.php?title=APD/GBA_(Belgium)_-_12/2023,APD/GBA (Belgium) - 12/2023,12,12,,,Article 5(1)(a) GDPR
https://gdprhub.eu/index.php?title=APD/GBA_(Belgium)_-_12/2025,APD/GBA (Belgium) - 12/2025,12,12,,,Article 5(1)(b) GDPR
https://gdprhub.eu/index.php?title=APD/GBA_(Belgium)_-_127/2022,APD/GBA (Belgium) - 127/2022,12,12,,,Article 5(1)(f) GDPR
https://gdprhub.eu/index.php?title=APD/GBA_(Belgium)_-_13/2019,APD/GBA (Belgium) - 13/2019,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=APD/GBA_(Belgium)_-_143/2022,APD/GBA (Belgium) - 143/2022,12,12,,,Article 4(1) GDPR
https://gdprhub.eu/index.php?title=APD/GBA_(Belgium)_-_149/2023,APD/GBA (Belgium) - 149/2023,12,12,,,Article 5(1)(a) GDPR
https://gdprhub.eu/index.php?title=APD/GBA_(Belgium)_-_19/2021,APD/GBA (Belgium) - 19/2021,12,12,,,Article 7(3) GDPR
https://gdprhub.eu/index.php?title=APD/GBA_(Belgium)_-_19/2023,APD/GBA (Belgium) - 19/2023,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=APD/GBA_(Belgium)_-_21/2022,APD/GBA (Belgium) - 21/2022,12,12,,,Article 5(1)(a) GDPR
https://gdprhub.eu/index.php?title=APD/GBA_(Belgium)_-_24/2021,APD/GBA (Belgium) - 24/2021,12,12,,,Article 6 GDPR
https://gdprhub.eu/index.php?title=APD/GBA_(Belgium)_-_34/2020,APD/GBA (Belgium) - 34/2020,12,12,,,Article 5(1)(b) GDPR
https://gdprhub.eu/index.php?title=APD/GBA_(Belgium)_-_39/2020,APD/GBA (Belgium) - 39/2020,12,12,,,Article 5(1)(f) GDPR
https://gdprhub.eu/index.php?title=APD/GBA_(Belgium)_-_40/2023,APD/GBA (Belgium) - 40/2023,12,12,,,Article 4(1) GDPR
https://gdprhub.eu/index.php?title=APD/GBA_(Belgium)_-_41/2020,APD/GBA (Belgium) - 41/2020,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=APD/GBA_(Belgium)_-_48/2022,APD/GBA (Belgium) - 48/2022,12,12,,,Article 5(1)(c) GDPR
https://gdprhub.eu/index.php?title=APD/GBA_(Belgium)_-_57/2024,APD/GBA (Belgium) - 57/2024,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=APD/GBA_(Belgium)_-_60/2023,APD/GBA (Belgium) - 60/2023,12,12,,,Article 5(2) GDPR
https://gdprhub.eu/index.php?title=APD/GBA_(Belgium)_-_61/2023,APD/GBA (Belgium) - 61/2023,12,12,,,Article 5 GDPR
https://gdprhub.eu/index.php?title=APD/GBA_(Belgium)_-_62/2022,APD/GBA (Belgium) - 62/2022,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=APD/GBA_(Belgium)_-_71/2022,APD/GBA (Belgium) - 71/2022,12,12,,,Article 5(2) GDPR
https://gdprhub.eu/index.php?title=APD/GBA_(Belgium)_-_73/2020,APD/GBA (Belgium) - 73/2020,12,12,,,Article 5 GDPR
https://gdprhub.eu/index.php?title=APD/GBA_(Belgium)_-_99/2024,APD/GBA (Belgium) - 99/2024,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=AZOP_(Croatia)_-_Decision_05-10-2023,AZOP (Croatia) - Decision 05-10-2023,12,12,,,Article 5 GDPR
https://gdprhub.eu/index.php?title=AZOP_(Croatia)_-_UP/I-034-01/24-01/30,AZOP (Croatia) - UP/I-034-01/24-01/30,12,12,,,Article 5 GDPR
https://gdprhub.eu/index.php?title=ArbG_Duisburg_-_5_Ca_877/23,ArbG Duisburg - 5 Ca 877/23,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=ArbG_Oldenburg_-_3_Ca_150/21,ArbG Oldenburg - 3 Ca 150/21,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=BVwG_-_W101_2218962-1,BVwG - W101 2218962-1,12,12,,,Article 4(1) GDPR
https://gdprhub.eu/index.php?title=BVwG_-_W108_2263948-1/4E,BVwG - W108 2263948-1/4E,12,12,,,Article 1 GDPR
https://gdprhub.eu/index.php?title=BVwG_-_W176_2265088-1,BVwG - W176 2265088-1,12,12,,,Article 5(1)(a) GDPR
https://gdprhub.eu/index.php?title=BVwG_-_W211_2210458-1/10,BVwG - W211 2210458-1/10,12,12,,,Article 2(1) GDPR
https://gdprhub.eu/index.php?title=BVwG_-_W214_2225733-1,BVwG - W214 2225733-1,12,12,,,Article 5 GDPR
https://gdprhub.eu/index.php?title=BVwG_-_W245_2247035-1/8E_and_W245_2251274-1/6E,BVwG - W245 2247035-1/8E and W245 2251274-1/6E,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=BVwG_-_W274_2232028-1/3E,BVwG - W274 2232028-1/3E,12,12,,,Article 5 GDPR
https://gdprhub.eu/index.php?title=BayLDA_(Bavaria)_-_LDA-1085.1-10821/21-F,BayLDA (Bavaria) - LDA-1085.1-10821/21-F,12,12,,,Article 5(1)(b) GDPR
https://gdprhub.eu/index.php?title=CE_-_474251,CE - 474251,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=CE_-_N%C2%B0_430810,CE - N° 430810,12,12,,,Article 6(1)(a) GDPR
https://gdprhub.eu/index.php?title=CNIL_(France)_-_20019819,CNIL (France) - 20019819,12,12,,,Article 12 GDPR
"https://gdprhub.eu/index.php?title=CNIL_(France)_-_Deliberation_of_the_restricted_training_n%C2%B0SAN-2022-021_of_November_24,_2022_concerning_the_company_ELECTRICIT%C3%89_DE_FRANCE","CNIL (France) - Deliberation of the restricted training n°SAN-2022-021 of November 24, 2022 concerning the company ELECTRICITÉ DE FRANCE",12,12,,,Article 5 GDPR
https://gdprhub.eu/index.php?title=CNIL_(France)_-_MED-2021-134,CNIL (France) - MED-2021-134,12,12,,,Article 6 GDPR
https://gdprhub.eu/index.php?title=CNIL_(France)_-_SAN-2019-001,CNIL (France) - SAN-2019-001,12,12,,,Article 4(11) GDPR
https://gdprhub.eu/index.php?title=CNIL_(France)_-_SAN-2019-010,CNIL (France) - SAN-2019-010,12,12,,,Article 5(1)(c) GDPR
https://gdprhub.eu/index.php?title=CNIL_(France)_-_SAN-2020-008,CNIL (France) - SAN-2020-008,12,12,,,Article 5(1)(e) GDPR
https://gdprhub.eu/index.php?title=CNIL_(France)_-_SAN-2020-009,CNIL (France) - SAN-2020-009,12,12,,,Article 5(1)(a) GDPR
https://gdprhub.eu/index.php?title=CNIL_(France)_-_SAN-2020-018,CNIL (France) - SAN-2020-018,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=CNIL_(France)_-_SAN-2020-056,CNIL (France) - SAN-2020-056,12,12,,,Article 5(1)(a) GDPR
https://gdprhub.eu/index.php?title=CNIL_(France)_-_SAN-2021-021,CNIL (France) - SAN-2021-021,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=CNIL_(France)_-_SAN-2022-011,CNIL (France) - SAN-2022-011,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=CNIL_(France)_-_SAN-2022-019,CNIL (France) - SAN-2022-019,12,12,,,Article 3(2) GDPR
https://gdprhub.eu/index.php?title=CNIL_(France)_-_SAN-2022-020,CNIL (France) - SAN-2022-020,12,12,,,Article 3(2)(a) GDPR
https://gdprhub.eu/index.php?title=CNIL_(France)_-_SAN-2023-008,CNIL (France) - SAN-2023-008,12,12,,,Article 5(1)(c) GDPR
https://gdprhub.eu/index.php?title=CNIL_(France)_-_SAN-2023-009,CNIL (France) - SAN-2023-009,12,12,,,Article 7(1) GDPR
https://gdprhub.eu/index.php?title=CNIL_(France)_-_SAN-2023-021,CNIL (France) - SAN-2023-021,12,12,,,Article 5(1)(c) GDPR
https://gdprhub.eu/index.php?title=CNIL_(France)_-_SAN-2023-023,CNIL (France) - SAN-2023-023,12,12,,,Article 5(1)(e) GDPR
https://gdprhub.eu/index.php?title=CNIL_(France)_-_SAN-2024-020,CNIL (France) - SAN-2024-020,12,12,,,Article 5(1)(e) GDPR
https://gdprhub.eu/index.php?title=CNIL_(France)_-_SAN-2024-021,CNIL (France) - SAN-2024-021,12,12,,,Article 5(1)(c) GDPR
https://gdprhub.eu/index.php?title=CNPD_(Luxembourg)_-_D%C3%A9lib%C3%A9ration_n%C2%B0_18/FR/2022,CNPD (Luxembourg) - Délibération n° 18/FR/2022,12,12,,,Article 5(1)(a) GDPR
https://gdprhub.eu/index.php?title=CNPD_(Luxembourg)_-_D%C3%A9lib%C3%A9ration_n%C2%B013FR/2021,CNPD (Luxembourg) - Délibération n°13FR/2021,12,12,,,Article 12 GDPR
https://gdprhub.eu/index.php?title=CNPD_(Portugal)_-_Delibera%C3%A7%C3%A3o_2022/1072,CNPD (Portugal) - Deliberação 2022/1072,12,12,,,Article 9(1) GDPR
