file_name,source_path,category,jurisdiction,entity_name,title,authority,court,relevant_law,gdpr_articles,type,outcome,started,decided,published,fine,parties,national_case_number_name,european_case_law_identifier,appeal,appeal_from,appeal_to,original_languages,original_source
MT_Rb._Limburg_-_ROE_19_259.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Rb._Limburg_-_ROE_19_259.md,courts,Netherlands,Rb. Limburg (Netherlands),Rb. Limburg - ROE 19/259,,Rb. Limburg (Netherlands),Article 15(1) GDPRArticle 15(4) GDPRArticle 41(1)(i) Implementation Act GDPR,15,,,,2022-06-09,2022-06-16,,The City Government of the Municipality Maastricht,ROE 19/259,ECLI:NL:RBLIM:2022:4404,,,Unknown,Dutch,Rechtspraak.nl (in Dutch)
MT_OLG_Karlsruhe_-_14_U_150_23.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_OLG_Karlsruhe_-_14_U_150_23.md,courts,Germany,OLG Karlsruhe (Germany),OLG Karlsruhe - 14 U 150/23,,OLG Karlsruhe (Germany),Article 17(1) GDPRArticle 17(3)(e) GDPR,17,,,,2020-07-17,2025-01-20,,,14 U 150/23,ECLI:DE:OLGKARL:2025:0115.14U150.23.00,,LG Offenburg (Germany)3 O 31/23,Unknown,German,Landesrecht BW (in German)
MT_HDPA_Greece_-_23_2020.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_HDPA_Greece_-_23_2020.md,authorities,Greece,HDPA (Greece),HDPA (Greece) - 23/2020,HDPA (Greece),,Article 4(1) GDPRArticle 4(7) GDPRArticle 5 GDPRArticle 12 GDPRArticle 15 GDPRArticle 23 GDPRArticle 51 GDPRArticle 55 GDPRArticle 57(1)(f) GDPRArticle 58 GDPRArticle 8(1) CFRArticle 9A Greek ConstitutionArticle 1(g) Law 4629/2019Article 9 Law 4629/2019Article 15 Law 4629/2019Article 33 Law 4629/2019,"4,5,12,15,23,51,55,58",Complaint,Other Outcome,,2020-07-30,,None,Hellenic Electricity Distribution Network Operator,23/2020,n/a,n/a,,,Greek,HDPA (in EL)
MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10102355.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_10102355.md,authorities,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 10102355,Garante per la protezione dei dati personali (Italy),,Article 5 GDPRArticle 6 GDPRArticle 37(7) GDPR,"5,6,37",Complaint,Upheld,,2024-12-12,,"6,000 EUR",Comune di Corte Franca,10102355,n/a,Unknown,,,Italian,Garante (in IT)
MT_AEPD_Spain_-_PS_00092_2020.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_PS_00092_2020.md,authorities,Spain,AEPD (Spain),AEPD (Spain) - PS/00092/2020,AEPD (Spain),,Article 13 GDPRArticle 58(2) GDPRArticle 83(5)(b) GDPRLey de servicios de la sociedad de la información y de comercio electrónico,"13,58",Complaint,Upheld,,,,None,AAAGROW BEATS S.L.,PS/00092/2020,n/a,Unknown,,,Spanish,Agencia Española de Protección de Datos (in ES)
MT_Tietosuojavaltuutetun_toimisto_Finland_-_TSV_12_2019.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Tietosuojavaltuutetun_toimisto_Finland_-_TSV_12_2019.md,authorities,Finland,Tietosuojavaltuutetun toimisto (Finland),Tietosuojavaltuutetun toimisto (Finland) - TSV/12/2019,Tietosuojavaltuutetun toimisto (Finland),,Article 12(6) GDPRArticle 15(3) GDPRArticle 58(2)(b) GDPRArticle 58(2)(c) GDPR§ 134 Act on Electronic Communications Services§ 303 Act on Electronic Communications Services,"12,15",Complaint,Partly Upheld,2019-12-19,2024-09-17,2024-10-02,n/a,n/a,TSV/12/2019,n/a,Not appealed,,,Finnish,Finlex (in FI)
MT_GHSHE_Netherlands_-_200.274.447_01.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_GHSHE_Netherlands_-_200.274.447_01.md,courts,Netherlands,GHSHE (Netherlands),GHSHE (Netherlands) - 200.274.447 01,,GHSHE (Netherlands),Article 5 GDPR,5,,,,2020-09-10,2020-09-14,,,200.274.447_01,ECLI:NL:GHSHE:2020:2810,,,Unknown,Dutch,rechtspraak (in Dutch)
MT_VSRS_-_II_Ips_23_2020.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VSRS_-_II_Ips_23_2020.md,courts,Slovenia,VSRS (Slovenia),VSRS - II Ips 23/2020,,VSRS (Slovenia),Article 17 GDPR,17,,,,2020-08-28,,,,II Ips 23/2020,ECLI:SI:VSRS:2020:II.IPS.23.2020,,VSM (Slovenia)VSM Sodba I Cp 374/2019,,Slovenian,Sodna praksa (in Slovenian)
MT_AEPD_Spain_-_PS_00224_2021.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_PS_00224_2021.md,authorities,Spain,AEPD (Spain),AEPD (Spain) - PS/00224/2021,AEPD (Spain),,Article 5(1)(c) GDPRArticle 13 GDPR,13,Complaint,Upheld,,,2022-01-13,1500 EUR,n/a,PS/00224/2021,n/a,Unknown,,,Spanish,AEPD (in ES)
MT_Datatilsynet_Norway_-_20_01813.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Datatilsynet_Norway_-_20_01813.md,authorities,Norway,Datatilsynet (Norway),Datatilsynet (Norway) - 20/01813,Datatilsynet (Norway),,Article 5(1)(f) GDPRArticle 5(2) GDPRArticle 24 GDPRArticle 32 GDPRHealth Records Act (pasientjournalloven) §§ 22-23Personal Data Act § 26(1),"5,24,32",Investigation,Violation Found,,2021-09-20,2021-10-01,750000 NOK,St. Olavs Hospital,20/01813,n/a,n/a,,,NorwegianNorwegian,Datatilsynet (in NO)Datatilsynet (press release) (in NO)
MT_IP_-_07121-1_2020_638.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_IP_-_07121-1_2020_638.md,authorities,Slovenia,IP (Slovenia),IP - 07121-1/2020/638,IP (Slovenia),,Article 6(1)(c) GDPRArticle 7(3) GDPRArticle 13 GDPRArticle 32 GDPRArticle 58 GDPRArticle 49(1)(g) ZVOP-1Article 2 ZInfPArticle 48 ZDR-1,"7,13,32,58",Advisory Opinion,Other Outcome,,2020-04-17,,None,Anonymous,07121-1/2020/638,n/a,n/a,,,Slovenian,IP (in SL)
MT_BVwG_-_W211_2221963-1.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_BVwG_-_W211_2221963-1.md,courts,Austria,BVwG (Austria),BVwG - W211 2221963-1,,BVwG (Austria),Article 6 GDPRArticle 21 GDPR§1 DSGArticle 133(4) B-VG§7 GBG 1955,"6,21",,,,2020-07-29,,,,W211 2221963-1,,,,,German,Rechtsinformationssytem des Bundes (in German)
MT_AEPD_Spain_-_EXP202405119.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202405119.md,authorities,Spain,AEPD (Spain),AEPD (Spain) - EXP202405119,AEPD (Spain),,Article 58(1) GDPR,58,Investigation,Violation Found,2023-11-23,,2024-05-22,"96,000 EUR",Watium S.L.,EXP202405119,n/a,Not appealed,,,Spanish,AEPD (in ES)
MT_UODO_Poland_-_DS.523.4486.2024.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_UODO_Poland_-_DS.523.4486.2024.md,authorities,Poland,UODO (Poland),UODO (Poland) - DS.523.4486.2024,UODO (Poland),,Article 5(1) GDPRArticle 6(1) GDPRArticle 66(1) GDPRArticle 70 para 1 of of Data protection act (Ustawa o ochronie danych osobowych),"5,6,66",Complaint,Other Outcome,,2024-08-05,,n/a,Meta Platforms Ireland,DS.523.4486.2024,n/a,Unknown,,,Polish,UODO (in PL)
MT_BVwG_-_W211_2230221-1.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_BVwG_-_W211_2230221-1.md,courts,Austria,BVwG (Austria),BVwG - W211 2230221-1,,BVwG (Austria),Article 15(1)(c) GDPRArticle 267 TFEU,,,,,2021-09-03,2021-10-01,,1) unknown data subject (complainant in the procedure before the DSB)2) unknown address publishing company (controller and respondent before the DSB)3) DSB,W211 2230221-1,ECLI:AT:BVWG:2021:W211.2230221.1.00,,DSB (Austria),,German,Rechtsinformationssystem des Bundes (RIS) (in German)
MT_AEPD_Spain_-_PS_00082_2020.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_PS_00082_2020.md,authorities,Spain,AEPD (Spain),AEPD (Spain) - PS/00082/2020,AEPD (Spain),,Article 5(1)(c) GDPR,,Complaint,Upheld,,2020-09-08,2020-09-24,n/a,"Grúas Barea, S.L.U.",PS/00082/2020,n/a,Unknown,,,Spanish,AEPD decision (in ES)
MT_Tallinna_Ringkonnakohus_-_3-23-1025_19.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Tallinna_Ringkonnakohus_-_3-23-1025_19.md,others,Unknown,,Welcome to GDPRhub,,,,,,,,,,,,,,,,,,
MT_Datatilsynet_Denmark_-_2020-442-8862.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Datatilsynet_Denmark_-_2020-442-8862.md,authorities,Denmark,Datatilsynet (Denmark),Datatilsynet (Denmark) - 2020-442-8862,Datatilsynet (Denmark),,Article 32(1) GDPRArticle 33(3) GDPRArticle 34(2) GDPRArticle 58(2)(a) GDPRArticle 58(2)(d) GDPR,"32,33,34",Investigation,Violation Found,,2022-02-18,2022-02-18,None,Capital Region of Denmark,2020-442-8862,n/a,Unknown,,,Danish,Datatilsynet (in DA)
MT_AEPD_Spain_-_TD_00251_2021.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_TD_00251_2021.md,authorities,Spain,AEPD (Spain),AEPD (Spain) - TD/00251/2021,AEPD (Spain),,Article 15 GDPR,15,Complaint,Upheld,,,,None,SERVICIO GALLEGO DE SALUD,R/00862/2021,n/a,Unknown,,,Spanish,AEPD (in ES)
MT_NSA_-_III_OSK_1394_22.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_NSA_-_III_OSK_1394_22.md,courts,Poland,NSA (Poland),NSA - III OSK 1394/22,,NSA (Poland),Article 5(1)(f) GDPRArticle 24(1) GDPRArticle 25(1) GDPRArticle 28(3) GDPRArticle 32(1) GDPRArticle 32(2) GDPR,"24,25,28,32",,,,2025-06-12,2025-06-22,,Krajowa Szkoła Sądownictwa i Prokuratury (National School of Judiciary and Public Prosecutor),III OSK 1394/22,,,UODO (Poland)DKN.5130.2024.2020,Unknown,Polish,NSA (in Polish)
MT_AEPD_Spain_-_PS_00509_2021.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_PS_00509_2021.md,authorities,Spain,AEPD (Spain),AEPD (Spain) - PS/00509/2021,AEPD (Spain),,"Article 32 GDPRArticle 16 of the Organic Law 4/2015, on the Protection of Citizen Security (LOPSC)Article 77(2) of the LOPDGDD",32,Complaint,Upheld,,,,0 EUR,National Police,PS/00509/2021,n/a,n/a,,,Spanish,Agencia Española de Protección de Datos (in ES)
MT_WSA_Warszawa_-_II_SA_Wa_2826_19.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_WSA_Warszawa_-_II_SA_Wa_2826_19.md,courts,Poland,WSA Warsaw (Poland),WSA Warszawa - II SA/Wa 2826/19,,WSA Warsaw (Poland),Article 5(1)(e) GDPRArticle 5(1)(f) GDPRArticle 5(1)(a) GDPRArticle 5(2) GDPRArticle 24 GDPRArticle 30(1)(d) GDPRArticle 30(1)(f) GDPRArticle 32(1)(b) GDPRArticle 32(1)(c) GDPR,"5,24",,,,2020-08-26,,,,II SA/Wa 2826/19,,,UODO (Poland)[[[1]] ZSPU.421.3.2019],,Polish,Centralna Baza Orzeczeń Sądów Administracyjnych (in Polish)
MT_Rb._Rotterdam_-_ROT_19_4649.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Rb._Rotterdam_-_ROT_19_4649.md,courts,Netherlands,Rb. Rotterdam (Netherlands),Rb. Rotterdam - ROT 19/4649,,Rb. Rotterdam (Netherlands),Article 15 GDPR,15,,,,2021-03-19,2021-03-22,,"De Staatssecretaris van Justitie en Veiligheid, Dienst Terugkeer en Vertrek",ROT 19/4649,ECLI:NL:RBROT:2021:2305,,,Unknown,Dutch,Rechtspraak.nl (in Dutch)
MT_CNIL_France_-_SAN-2021-020.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_CNIL_France_-_SAN-2021-020.md,authorities,France,CNIL (France),CNIL (France) - SAN-2021-020,CNIL (France),,Article 28(3) GDPRArticle 28(4) GDPRArticle 32 GDPRArticle 34 GDPR,"28,32,34",Investigation,Violation Found,,2021-12-28,2021-12-30,180000 EUR,SLIMPAY,SAN-2021-020,n/a,n/a,,,French,Légifrance (in FR)
MT_ANSPDCP_Romania_-_S.C._Tip_Top_Food_Industry_S.R.L.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_S.C._Tip_Top_Food_Industry_S.R.L.md,authorities,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - S.C. Tip Top Food Industry S.R.L,ANSPDCP (Romania),,Article 5(1)(c) GDPRArticle 5(1)(b) GDPRArticle 5(2) GDPRArticle 6 GDPRArticle 7 GDPR,"5,6,7",Investigation,Violation Found,,,2021-04-15,5000 EUR,S.C. Tip Top Food Industry S.R.L,ANSPDCP - S.C. Tip Top Food Industry S.R.L,n/a,Unknown,,,Romanian,ANSPDCP - Autoritatea Naţională de Supraveghere a Prelucrării Datelor cu Caracter Personal (in RO)
MT_ANSPDCP_Romania_-_Compania_Națională_Poșta_Română_SA.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ANSPDCP_Romania_-_Compania_Națională_Poșta_Română_SA.md,authorities,Romania,ANSPDCP (Romania),ANSPDCP (Romania) - Compania Națională Poșta Română SA,ANSPDCP (Romania),,Article 4(8) GDPRArticle 32(1)(b) GDPRArticle 32(2) GDPRArticle 58(2)(d) GDPR,"4,32",Investigation,Violation Found,,,2022-11-07,"2,000 EUR",Compania Națională Poșta Română SA,Compania Națională Poșta Română SA,n/a,Unknown,,,Romanian,ANSPDCP (in RO)
MT_Personvernnemnda_Norway_-_PVN-2023-05.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Personvernnemnda_Norway_-_PVN-2023-05.md,courts,Norway,Personvernnemnda (Norway),Personvernnemnda (Norway) - PVN-2023-05,,Personvernnemnda (Norway),Article 6(1) GDPRArticle 13 GDPR,"6,13",,,,,,,,Pvn-2023-05,,,,,Norwegian,pvn-2023-05 (in Norwegian)
MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_9967845.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_9967845.md,authorities,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 9967845,Garante per la protezione dei dati personali (Italy),,Article 5(1)(a) GDPRArticle 5(1)(c) GDPRArticle 137 Codice PrivacyArticle 6 Regole deontologiche relative al trattamento di dati personali nell’esercizio dell’attività giornalisticaArticle 7 Regole deontologiche relative al trattamento di dati personali nell’esercizio dell’attività giornalistica,,Complaint,Upheld,,2023-11-16,,n/a,Editoriale Argo S.r.l.,9967845,n/a,n/a,,,Italian,GARANTE PER LA PROTEZIONE DEI DATI PERSONALI (in IT)
MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_9843805.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_9843805.md,authorities,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 9843805,Garante per la protezione dei dati personali (Italy),,Article 12 GDPRArticle 13 GDPRArticle 15 GDPRArticle 58 GDPRArticle 83 GDPR,"12,13,15,58,83",Complaint,Upheld,2020-09-21,2022-12-01,2023-01-16,20000 EUR,Amazon Italia Logistica,9843805,n/a,Unknown,,,Italian,Italian DPA (in IT)
MT_ICO_UK_-_Parkin_Beacher_Ltd.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ICO_UK_-_Parkin_Beacher_Ltd.md,authorities,United Kingdom,ICO (UK),ICO (UK) - Parkin Beacher Ltd,ICO (UK),,Article 4(11) GDPRRegulation 21B of the Privacy and Electronic Communications Regulations 2003,4,Investigation,Violation Found,,2021-08-16,2021-08-19,"50,000 GBP",Parkin Beacher Ltd,Parkin Beacher Ltd,n/a,Unknown,,,English,ico.org.uk (in EN)
MT_AEPD_Spain_-_PS_00143_2020.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_PS_00143_2020.md,authorities,Spain,AEPD (Spain),AEPD (Spain) - PS/00143/2020,AEPD (Spain),,Article 5(1)(f) GDPRArticle 19(3) Law on Horizontal PropertiesArticle 9(1)(h) Law on Horizontal Properties,,Complaint,Upheld,,2020-10-21,2020-10-23,None,n/a,PS/00143/2020,n/a,n/a,,,Spanish,AEPD (in ES)
MT_RvS_-_202001809_1_A3.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_RvS_-_202001809_1_A3.md,courts,Netherlands,RvS (Netherlands),RvS - 202001809/1/A3,,RvS (Netherlands),Article 16 GDPR,16,,,,2020-11-04,2020-11-04,,President of the bar of Eastern Brabant,202001809/1/A3,ECLI:NL:RVS:2020:2642,,Rb. Oost-Brabant (Netherlands)19/1919,Not appealed,Dutch,de Rechtspraak (in Dutch)
MT_APD_GBA_Belgium_-_24_2021.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_APD_GBA_Belgium_-_24_2021.md,authorities,Belgium,APD/GBA (Belgium),APD/GBA (Belgium) - 24/2021,APD/GBA (Belgium),,"Article 6 GDPRArticle 7(1) GDPRArticle 7(3) GDPRArticle 12 GDPRArticle 13 GDPRArticle 25 GDPRArticle 30 GDPRArticle 35(2) GDPRArticle 35(7) GDPRArticle 38 GDPR63,1","6,7,12,13,25,30,35,38",Investigation,Violation Found,,2021-02-17,,None,Defendant : Westtoer APB a public entity giving autonomous services in the area of tourism in the province of West -Flanders.,24/2021,n/a,Unknown,,,Dutch,APD/GBA (in NL)
MT_Rb._Amsterdam_-_AMS_22_76.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Rb._Amsterdam_-_AMS_22_76.md,courts,Netherlands,Rb. Amsterdam (Netherlands),Rb. Amsterdam - AMS 22/76,,Rb. Amsterdam (Netherlands),Article 9(1) GDPRArticle 10 and 11 Dutch Government Information Act (Wob),9,,,,2023-09-18,2023-12-05,,Dutch Minister of Social Affairs and EmploymentPlaintiff as the recipient,AMS 22/76,ECLI:NL:RBAMS:2023:7115 Uitspraak delen,,,Appealed - Confirmed,Dutch,de Rechtspraak (in Dutch)
MT_AN_-_578_2021.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AN_-_578_2021.md,courts,Spain,AN (Spain),AN - 578/2021,,AN (Spain),Article 5(1)(d) GDPR,,,,,2021-02-26,,,"Canary Island Cars, S.L.",578/2021,ECLI:ES:AN:2021:578,,AEPD (Spain)PS/00385/2018,Unknown,Spanish,Consejo General del Poder Judicial (in Spanish)
MT_ICO_UK_-_The_Central_Young_Mens_Christian_Association.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_ICO_UK_-_The_Central_Young_Mens_Christian_Association.md,authorities,United Kingdom,ICO (UK),ICO (UK) - The Central Young Men’s Christian Association,ICO (UK),,Article 5(1)(f) GDPRArticle 32 GDPRUK GDPR,32,Investigation,Violation Found,2022-12-14,2024-04-30,,"7,500 GBP",The Central Young Men’s Christian Association (Central YMCA),The Central Young Men’s Christian Association,n/a,Not appealed,,,English,ICO (in EN)
MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_9832979.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_Garante_per_la_protezione_dei_dati_personali_Italy_-_9832979.md,authorities,Italy,Garante per la protezione dei dati personali (Italy),Garante per la protezione dei dati personali (Italy) - 9832979,Garante per la protezione dei dati personali (Italy),,Article 5(1)(d) GDPRArticle 5(1)(e) GDPRArticle 5(2) GDPRArticle 12(3) GDPRArticle 24 GDPR,"5,12,24",Complaint,Upheld,,2022-11-24,2022-11-24,"1,000,000 EUR",Signore XX (the data subject)Areti S.p.A. (the controller),9832979,n/a,n/a,,,Italian,Garante per la Protezione dei Dati Personali (in IT)
