id,file_name,source_path,jurisdiction,authority,title,relevant_law,gdpr_articles,type,outcome,started,decided,published,fine,fine_amount,fine_currency,parties,national_case_number_name,european_case_law_identifier,original_languages,original_source,sector_type,sector_type_confidence,sector_core_activity,sector_core_activity_confidence,sector_size,sector_size_confidence
ES_10,MT_AEPD_Spain_-_EXP202100764.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202100764.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202100764,Article 5(1)(f) GDPRArticle 32 GDPRArticle 83(4) GDPRArticle 83(5) GDPR,"32,83",Complaint,Upheld,26/07/2021,25/08/2023,25/08/2023,"1,500 EUR",1500,EUR,n/a,PS/00428/2022,n/a,Spanish,AEPD (in ES),,,,,,
ES_11,MT_AEPD_Spain_-_EXP202100897.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202100897.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202100897,Article 6(1) GDPRArticle 83(2) GDPRArticle 83(5)(a) GDPR,"6,83",Investigation,Violation Found,26/07/2021,,11/10/2022,12.000 EUR,12,EUR,Sean Serios S.L,PS-00520-2021,n/a,Spanish,AEPD (in ES),PRIVATE,85,,40,SMALL OR MEDIUM,50
ES_12,MT_AEPD_Spain_-_EXP202101314.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202101314.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202101314,Article 15 GDPRArticle 31 GDPRArticle 13 LOPDGDD,"15,31",Complaint,Upheld,,,03/12/2021,None,,,AD735 DATA MEDIA ADVERTISING S.L,R/00852/2021,n/a,Spanish,AEPD (in ES),PRIVATE,95,M73.11 (Advertising agencies),85,SMALL OR MEDIUM,70
ES_13,MT_AEPD_Spain_-_EXP202102056.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202102056.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202102056,Article 5(1)(f) GDPRArticle 30 GDPRArticle 32 GDPRArticle 58(2) GDPRArticle 83 GDPRArticle 99 GDPR,"30,32,58,83,99",Complaint,Upheld,,06/01/2023,06/01/2023,n/a,,,n/a,EXP202102056,n/a,Spanish,AEDP (in ES),,,,,,
ES_14,MT_AEPD_Spain_-_EXP202102088.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202102088.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202102088,Article 13 GDPRArticle 83(5)(b) GDPRArticle 11 LOPDGDD,13,Investigation,Violation Found,22/07/2021,06/07/2022,06/07/2022,3000 EUR,3000,EUR,Private Party (A.A.A)ASOCIACIÓN DE AFICIONADOS Y PEQUEÑOS ACCIONISTAS UNIDAD HERCULANA,PS-00609-2021,n/a,Spanish,Spanish DPA (in ES),OTHER,95,CIVIC ASSOCIATION,85,SMALL OR MEDIUM,60
ES_15,MT_AEPD_Spain_-_EXP202102430.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202102430.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202102430,Article 32 GDPRArticle 58(2)(d) GDPRArticle 83(4) GDPR,"32,83",Complaint,Upheld,14/09/2021,07/09/2023,07/09/2023,n/a,,,AGRUPACION DE LOS CUERPOS DE LA ADMINISTRACION DE INSTITUCIONES PENITENCIARIASASOCIACIÓN DE TRABAJADORES PENITENCIARIOS TU ABANDONO ME PUEDE MATARASOCIACIÓN PROFESIONAL DE FUNCIONARIOS DE PRISIONESSECRETARÍA GENERAL DE INSTITUCIONES PENITENCIARIAS,PS/00565/2022,n/a,Spanish,AEPD (in ES),GOV,90,O84.24 (Public order and safety activities),85,VERY LARGE,70
ES_16,MT_AEPD_Spain_-_EXP202102433.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202102433.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202102433,Article 5(1)(f) GDPR,,Complaint,Upheld,07/08/2021,,,3.000 EUR,3,EUR,n/a,EXP202102433,n/a,Spanish,AEPD (in ES),,,,,,
ES_17,MT_AEPD_Spain_-_EXP202102529.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202102529.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202102529,Article 4(15) GDPRArticle 5(1)(c) GDPRArticle 6 GDPRArticle 9 GDPRArticle 57(1)(a) GDPRArticle 57(1)(f) GDPRArticle 57(1)(h) GDPRArticle 58(1) GDPRArticle 5.1 Regulation (EU) 679/2016Regulation (EU) 2016/679Art 48.1 Organic Law 3/2018 of December 5 LOPDGDDArt 63.2 of LOPDGDDArticle 47 Organic Law 3/2018 of December 5 LOPDGDD,"4,6,9,58",Complaint,Rejected,26/08/2021,,11/04/2022,n/a,,,University of NavarraLiberum Asociación,EXP202102529,n/a,Spanish,AEPD (in ES),OTHER,75,HIGHER EDUCATION,80,VERY LARGE,65
ES_18,MT_AEPD_Spain_-_EXP202102778.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202102778.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202102778,Article 6(1)(f) GDPR,,Complaint,Upheld,04/11/2021,,10/01/2023,"24,000 EUR",24000,EUR,"FACTOR ENERGIA, S.A.",AEPD PS-00508-2022,n/a,Spanish,AEPD (in ES),,,,,,
ES_19,MT_AEPD_Spain_-_EXP202103039.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202103039.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202103039,Article 13 GDPR72 (1)(h) LOPDGDD,13,Complaint,Upheld,27/09/2021,16/08/2022,16/08/2022,"5,000 EUR",5000,EUR,"RODALI GESTIÓN INMOBILIARIA, S.LPrivate Party",PS/00618/2021,n/a,Spanish,AEPD (in ES),,,,,,
ES_20,MT_AEPD_Spain_-_EXP202103746.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202103746.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202103746,Article 5(1)(c) GDPRArticle 58(2) GDPRArticle 83(5) GDPRArticle 12 Regulation 2016/679Article 15 Regulation 2016/679Article 16 Regulation 2016/679Article 17 Regulation 2016/679Article 18 Regulation 2016/679Article 19 Regulation 2016/679Article 20 Regulation 2016/679Article 21 Regulation 2016/679Article 22 Regulation 2016/679Article 123 LPACAPArticle 22(4) LOPDGDDArticle 47 LOPDGDDArticle 48(1) LOPDGDDArticle 48(6) LOPDGDDArticle 63 LPACAPArticle 63(2) LOPDGDDArticle 64Article 64(2) LOPDGDDArticle 65(4) LOPDGDDArticle 68(1) LOPDGDD,"58,83",Complaint,Rejected,15/09/2021,,,n/a,,,A.A.AB.B.B,PS-00601-2021,n/a,Spanish,AEPD (in ES),,,,,,
ES_21,MT_AEPD_Spain_-_EXP202103878.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202103878.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202103878,Article 6(1) GDPRArticle 17 GDPR,"6,17",Complaint,Rejected,,,,n/a,,,n/a,e-11644-2021,n/a,Spanish,AEPD (in ES),,,,,,
ES_22,MT_AEPD_Spain_-_EXP202103983.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202103983.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202103983,Article 4(1) GDPRArticle 4(2) GDPRArticle 5(1)(c) GDPRArticle 22 Ley Orgánica de Protección de Datos Personales y Garantía de los Derechos Digitales,4,Investigation,Violation Found,14/10/2022,05/05/2022,,300 EUR,300,EUR,n/a,EXP202103983,n/a,Spanish,AEPD agencia espanola proteccion datos (in ES),,,,,,
ES_23,MT_AEPD_Spain_-_EXP202104006.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202104006.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202104006,Article 4(12) GDPRArticle 5(1)(f) GDPRArticle 32 GDPRArticle 33 GDPRArticle 34 GDPRArticle 83(4) GDPRArticle 83(5) GDPR,"4,32,33,34,83",Complaint,Upheld,21/08/2021,13/09/2023,13/09/2023,"56,000 EUR",56000,EUR,"VODAFONE ESPAÑA, S.A.U.",EXP202104006,n/a,Spanish,AEPD (in ES),,,,,,
ES_24,MT_AEPD_Spain_-_EXP202104460.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202104460.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202104460,Article 7 GDPRArticle 22(2) of the Spanish Law of Information Society Services and Electronic Commerce,7,Complaint,Upheld,26/09/2021,,09/09/2022,2000 EUR,2000,EUR,n/a,PS-00030-2022,n/a,Spanish,AEPD (in ES),,,,,,
ES_25,MT_AEPD_Spain_-_EXP202104530.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202104530.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202104530,Article 28 GDPRArticle 21 LSSIArticle 38(4)(d) LSSI,28,Other,n/a,11/10/2021,,,n/a,,,"A.A.ABOOKSY INTERNATIONAL SPOLKA, S.L.",PS-00073-2022,n/a,Spanish,AEPD (in ES),,,,,,
ES_26,MT_AEPD_Spain_-_EXP202104693.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202104693.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202104693,Article 6(1) GDPR,6,Complaint,Upheld,,,,"5,000 EUR",5000,EUR,ESTUDIO INMOBILIARIO SAN ISIDRO,EXP202104693,n/a,Spanish,AEPD (in ES),,,,,,
ES_27,MT_AEPD_Spain_-_EXP202104873.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202104873.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202104873,Article 5(1)(f) GDPRArticle 32 GDPRArticle 83(5) GDPRArticle 76(2)(b) Spanish Data Protection Law,"32,83",Complaint,Upheld,02/11/2021,,06/12/2022,5000 EUR,5000,EUR,"INDECEMI, S.L.",AEPD PS-00113-2022,n/a,Spanish,AEPD (in ES),,,,,,
ES_28,MT_AEPD_Spain_-_EXP202104875.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202104875.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202104875,Article 5(1)(f) GDPRArticle 32(1) GDPR,32,Complaint,Upheld,,,15/11/2022,"80,000 EUR",80000,EUR,"BANKINTER, S.A.",PS/00634/2021,n/a,Spanish,AEPD (in ES),,,,,,
ES_29,MT_AEPD_Spain_-_EXP202104896.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202104896.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202104896,Article 9(2) GDPR,9,Complaint,Upheld,,,,10.000 EUR,10,EUR,n/a,EXP202104896,n/a,Spanish,AEPD (in ES),,,,,,
ES_30,MT_AEPD_Spain_-_EXP202104917.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202104917.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202104917,Article 4(11) GDPRArticle 6 GDPRArticle 6(1) LOPDGDD,"4,6",Complaint,Upheld,24/09/2021,,12/09/2022,"10,000 EUR",10000,EUR,"SOPHIE ET VOILA, S.L",PS-00066-2022,n/a,Spanish,AEPD (in ES),,,,,,
ES_31,MT_AEPD_Spain_-_EXP202105333.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202105333.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202105333,Article 6(1) GDPR,6,Complaint,Upheld,19/10/2021,,25/04/2023,"70,000 EUR",70000,EUR,"n/aDIGI SPAIN TELECOM, S.L.",PS-00505-2022,n/a,Spanish,AEPD (in ES),,,,,,
ES_32,MT_AEPD_Spain_-_EXP202105344.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202105344.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202105344,Article 6(1) GDPR,6,Complaint,Upheld,,,31/08/2022,10000 EUR,10000,EUR,n/a,PS-00134-2022,n/a,Spanish,AEPD (in ES),,,,,,
ES_33,MT_AEPD_Spain_-_EXP202105363.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202105363.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202105363,"Article 6(1) GDPRArticle 6(1)(f) GDPRLey 39/2015, de 1 de octubre, del Procedimiento Administrativo Común de las Administraciones Públicas",6,Other,n/a,24/11/2021,06/05/2024,,"70,000",70000,,"Caixabank Payments & Consumer EFC, EP, S.A.U.",EXP202105363,n/a,Spanish,AEPD (in ES),,,,,,
ES_34,MT_AEPD_Spain_-_EXP202105644.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202105644.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202105644,Article 5(1)(f) GDPRArticle 32 GDPR,32,Complaint,Upheld,04/11/2021,08/06/2022,25/08/2022,"80,000 EUR",80000,EUR,Naturgy Enery Group S.A.,PS/00100/2022,n/a,Spanish,AEPD (in ES),,,,,,
ES_35,MT_AEPD_Spain_-_EXP202105669.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202105669.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202105669,Article 5(1)(f) GDPRArticle 32 GDPRArticle 58(2)(d) GDPR,32,Complaint,Upheld,08/11/2021,,30/12/2022,n/a,,,n/a,PS-00128-2022,n/a,Spanish,AEPD (in ES),,,,,,
ES_36,MT_AEPD_Spain_-_EXP202105680.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202105680.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202105680,Article 9 GDPRArticle 13 GDPRArticle 83(5)(a) GDPRArticle 83(5)(b) GDPR,"9,13",Complaint,Upheld,24/11/2021,11/09/2023,11/09/2023,"17,000 EUR",17000,EUR,Federación de Balonmano de Castilla y La Mancha,PS/00265/2022,n/a,Spanish,AEPD (in ES),,,,,,
ES_37,MT_AEPD_Spain_-_EXP202105693.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202105693.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202105693,Article 6(1) GDPRArticle 83(1) GDPRArticle 83(2) GDPR§72.1(b) LOPDGDD,"6,83",Investigation,Violation Found,26/10/2021,,04/10/2022,24.000 EUR,24,EUR,n/a,PS-00275-2022,n/a,Spanish,AEPD (in ES),,,,,,
ES_38,MT_AEPD_Spain_-_EXP202105923.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202105923.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202105923,Article 5(1)(d) GDPR,,Complaint,Upheld,30/11/2021,,08/07/2022,"60,000 EUR",60000,EUR,"Comercializadora Regulada, Gas & Power, S.A.",PS-00087-2022,n/a,Spanish,AEPD (in ES),,,,,,
ES_39,MT_AEPD_Spain_-_EXP202200367.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202200367.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202200367,Article 5(1)(a) GDPRArticle 5(1)(c) GDPRArticle 6(1)(e) GDPROrganic Law of Universities (Ley Orgánica de Universidades),,Complaint,Rejected,,,28/12/2022,n/a,,,n/a,AI-00086-2022,n/a,Spanish,AEPD (in ES),,,,,,
ES_40,MT_AEPD_Spain_-_EXP202200399.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202200399.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202200399,Article 5(1)(f) GDPRArticle 32 GDPRArticle 33 GDPR,"32,33",Complaint,Upheld,18/07/2022,,27/09/2022,31200,31200,,n/a,PS-00246-2022,n/a,Spanish,AEDP (in ES),,,,,,
ES_41,MT_AEPD_Spain_-_EXP202200429.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202200429.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202200429,Article 5(1)(c) GDPRArticle 12 GDPR,12,Complaint,Upheld,29/11/2021,,11/04/2023,n/a,,,Data subjectMunicipality of Ibiza,AEPD PS-00137-2022,n/a,Spanish,AEPD (in ES),,,,,,
ES_42,MT_AEPD_Spain_-_EXP202200436.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202200436.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202200436,Article 6(1) GDPR,6,Complaint,Upheld,,,,3000 EUR,3000,EUR,n/a,PS-00203-2022,n/a,Spanish,AEPD (in ES),,,,,,
ES_43,MT_AEPD_Spain_-_EXP202200439.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202200439.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202200439,Article 6(1) GDPRArticle 9 GDPRArticle 83(5)(a) GDPR§72(1)(b) and (e) LOPDGDD,"6,9",Investigation,Violation Found,,,,64.000 EUR,64,EUR,Servicios Especiales S.A,PS-00155-2022,n/a,Spanish,AEPD (in ES),,,,,,
ES_44,MT_AEPD_Spain_-_EXP202200471.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202200471.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202200471,Article 5(1)(f) GDPRArticle 32 GDPR§76(2)(b) LOPDGDD,32,Complaint,Upheld,,,,80.000 EUR,80,EUR,n/a,PS-00419-2022,n/a,Spanish,AEPD (in ES),,,,,,
ES_45,MT_AEPD_Spain_-_EXP202200999.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202200999.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202200999,Article 6(1) GDPRArticle 12 GDPRArticle 15 GDPR,"6,12,15",Complaint,Upheld,,15/12/2022,,20.000 EUR,20,EUR,Hospital Recoletas Ponferrada,PS-00204-2022,n/a,Spanish,AEPD (in ES),,,,,,
ES_46,MT_AEPD_Spain_-_EXP202201247.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202201247.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202201247,Article 4(11) GDPRArticle 6 GDPRArticle 6(1) GDPRArticle 58(2) GDPRArticle 83(5) GDPRArticle 47 LOPDGDDArticle 48(1) LOPDGDDArticle 50 LOPDGDDArticle 6(1) LOPDGDDArticle 63(2) LOPDGDDArticle 65(4) LOPDGDDArticle 72(1)(b) LOPDGDD,"4,6,58,83",Complaint,Rejected,14/01/2022,,28/11/2022,n/a,,,"Data SubjectAUTOMOVILES FERSAN, S.A.",PS-00304-2022,n/a,Spanish,AEPD (in ES),,,,,,
ES_47,MT_AEPD_Spain_-_EXP202201608.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202201608.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202201608,Article 6(1) GDPRArticle 9(2) GDPRArticle 14 GDPR,"6,9,14",Complaint,Upheld,29/01/2022,,31/05/2024,"600,000 EUR",600000,EUR,GSMA Limited,EXP202201608,n/a,Spanish,AEPD (in ES),,,,,,
ES_48,MT_AEPD_Spain_-_EXP202201673.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202201673.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202201673,"Article 15 GDPRArticle 18 GDPRLey 25/2007, de 18 de octubre, de Conservación de Datos relativos a las comunicaciones electrónicas","15,18",Complaint,Upheld,,05/01/2024,,n/a,,,n/a,EXP202201673,n/a,Spanish,AEPD (in ES),,,,,,
ES_49,MT_AEPD_Spain_-_EXP202201681.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202201681.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202201681,Article 13 GDPRArticle 38(6) GDPRArticle 22(2),"13,38",Complaint,Upheld,21/12/2021,,,"14,000 EUR",14000,EUR,COLEGIO OFICIAL DE ARQUITECTOS DE GRANADA,EXP202201681 (PS/00345/2022),n/a,Spanish,AEPD (in ES),,,,,,
ES_50,MT_AEPD_Spain_-_EXP202201718.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202201718.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202201718,Article 32 GDPR,32,Complaint,Other Outcome,,,,n/a,,,n/a,AI-00128-2022,n/a,Spanish,AEPD (in ES),,,,,,
ES_51,MT_AEPD_Spain_-_EXP202201721.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_AEPD_Spain_-_EXP202201721.md,Spain,AEPD (Spain),AEPD (Spain) - EXP202201721,Article 6(1) GDPRArticle 32(1) GDPRArticle 83(4)(a) GDPRArticle 83(5)(a) GDPR,"6,32",Complaint,Upheld,28/12/2021,12/09/2023,12/09/2023,"70,000 EUR",70000,EUR,"Banco Bilbao Vizcaya Argentaria, S.A.",PS/00456/2022,n/a,Spanish,AEPD (in ES),,,,,,
